destId,name
1,"Bali, Indonesia"
2,"Santorini, Greece"
3,"Kyoto, Japan"
4,"Machu Picchu, Peru"
5,"Reykjavik, Iceland"
6,"Marrakech, Morocco"
7,"Queenstown, New Zealand"
8,"Amalfi Coast, Italy"
9,"Cappadocia, Turkey"
10,"Banff, Canada"
11,Maldives
12,"Swiss Alps, Switzerland"
13,"Petra, Jordan"
14,"Havana, Cuba"
15,"Dubrovnik, Croatia"
16,"Jaipur, India"
17,"Patagonia, Argentina"
18,"Bora Bora, French Polynesia"
19,"Siem Reap, Cambodia"
20,"Cape Town, South Africa"
21,"Hallstatt, Austria"
22,"Lofoten Islands, Norway"
23,"Zhangjiajie, China"
24,"Cusco, Peru"
25,"Phuket, Thailand"
26,"Zanzibar, Tanzania"
27,"Cinque Terre, Italy"
28,Fiji Islands
29,"Chefchaouen, Morocco"
30,"Tromsø, Norway"
31,"Galápagos Islands, Ecuador"
32,"Prague, Czech Republic"
33,"Udaipur, India"
34,"Oia, Greece"
35,"Ha Long Bay, Vietnam"
